,Unnamed: 0.1,Unnamed: 0,TotW,TotVar,A.phsA,Phv.neut.ang,modbus_speed,scada_q2c_sync_activated,q2c_in_sync,gen1_p_negative,gen2_p_negative,status
33,33,33,0.0,0.0,0.0,-106.22837829589844,-7487.0,0,0,0,0,Normal
34,34,34,0.0,0.0,0.0,-109.0949249267578,-7487.0,0,0,0,0,Normal
35,35,35,0.0,0.0,0.0,-110.64539337158205,-7487.0,0,0,0,0,Normal
36,36,36,0.0,0.0,0.0,-115.54280853271484,-7487.0,0,0,0,0,Normal
37,37,37,0.0,0.0,0.0,-116.76819610595705,-7487.0,0,0,0,0,Normal
38,38,38,0.0,0.0,0.0,-117.96639251708984,-7487.0,0,0,0,0,Normal
39,39,39,0.0,0.0,0.0,-122.63523864746094,-7487.0,0,0,0,0,Normal
40,40,40,0.0,0.0,0.0,-122.3881607055664,-7487.0,0,0,0,0,Normal
41,41,41,0.0,0.0,0.0,-125.62471771240234,-7487.0,0,0,0,0,Normal
42,42,42,0.0,0.0,0.0,-129.2631072998047,-7487.0,0,0,0,0,Normal
43,43,43,0.0,0.0,0.0,-130.61074829101562,-7487.0,0,0,0,0,Normal
44,44,44,0.0,0.0,0.0,-133.23451232910156,-7487.0,0,0,0,0,Normal
45,45,45,0.0,0.0,0.0,-133.7982635498047,-7487.0,0,0,0,0,Normal
46,46,46,0.0,0.0,0.0,-136.9440155029297,-7487.0,0,0,0,0,Normal
47,47,47,0.0,0.0,0.0,-140.3024444580078,-7487.0,0,0,0,0,Normal
48,48,48,0.0,0.0,0.0,-141.39808654785156,-7487.0,0,0,0,0,Normal
49,49,49,0.0,0.0,0.0,-145.3961944580078,-7487.0,0,0,0,0,Normal
50,50,50,0.0,0.0,0.0,-145.4241180419922,-7487.0,0,0,0,0,Normal
51,51,51,0.0,0.0,0.0,-147.39190673828125,-7487.0,0,0,0,0,Normal
52,52,52,0.0,0.0,0.0,-150.83123779296875,-7487.0,0,0,0,0,Normal
53,53,53,0.0,0.0,0.0,-151.90098571777344,-7487.0,0,0,0,0,Normal
54,54,54,0.0,0.0,0.0,-155.03912353515625,-7487.0,0,0,0,0,Normal
55,55,55,0.0,0.0,0.0,-156.4110107421875,-7487.0,0,0,0,0,Normal
56,56,56,0.0,0.0,0.0,-159.16929626464844,-7487.0,0,0,0,0,Normal
57,57,57,0.0,0.0,0.0,-162.2081756591797,-7487.0,0,0,0,0,Normal
58,58,58,0.0,0.0,0.0,-163.982421875,-7487.0,0,0,0,0,Normal
59,59,59,0.0,0.0,0.0,-168.1582794189453,-7487.0,0,1,0,0,Normal
60,60,60,0.0,0.0,0.0,-169.10018920898438,-7487.0,0,1,0,0,Normal
61,61,61,0.0,0.0,0.0,-172.14437866210938,-7487.0,0,1,0,0,Normal
62,62,62,0.0,0.0,0.0,-175.02113342285156,-7487.0,0,1,0,0,Normal
63,63,63,0.0,0.0,0.0,-174.96868896484375,-7487.0,0,1,0,0,Normal
64,64,64,0.0,0.0,0.0,-179.82180786132812,-7487.0,0,1,0,0,Normal
65,65,65,0.0,0.0,0.0,176.57571411132812,-7487.0,0,1,0,0,Normal
66,66,66,0.0,0.0,0.0,174.45840454101562,-7487.0,0,1,0,0,Normal
67,67,67,0.0,0.0,0.0,173.11740112304688,-7487.0,0,1,0,0,Normal
68,68,68,0.0,0.0,0.0,169.62266540527344,-7488.0,0,1,0,0,Normal
69,69,69,0.0,0.0,0.0,168.86924743652344,-7488.0,0,1,0,0,Normal
70,70,70,0.0,0.0,0.0,165.1754913330078,-7487.0,0,1,0,0,Normal
71,71,71,0.0,0.0,0.0,162.94168090820312,-7487.0,0,1,0,0,Normal
72,72,72,0.0,0.0,0.0,162.06015014648438,-7488.0,0,1,0,0,Normal
73,73,73,0.0,0.0,0.0,157.57815551757812,-7487.0,0,1,0,0,Normal
74,74,74,0.0,0.0,0.0,157.37486267089844,-7487.0,0,1,0,0,Normal
75,75,75,0.0,0.0,0.0,153.91310119628906,-7487.0,0,1,0,0,Normal
76,76,76,0.0,0.0,0.0,152.38186645507812,-7487.0,0,1,0,0,Normal
77,77,77,0.0,0.0,0.0,150.87628173828125,-7488.0,0,1,0,0,Normal
78,78,78,0.0,0.0,0.0,146.3982391357422,-7488.0,0,1,0,0,Normal
79,79,79,0.0,0.0,0.0,146.0345916748047,-7488.0,0,1,0,0,Normal
80,80,80,0.0,0.0,0.0,142.2406463623047,-7488.0,0,1,0,0,Normal
81,81,81,0.0,0.0,0.0,140.21920776367188,-7488.0,0,1,0,0,Normal
82,82,82,0.0,0.0,0.0,139.9610595703125,-7488.0,1,1,0,0,Normal
83,83,83,0.0,0.0,0.0,134.81736755371094,-7488.0,1,1,0,0,Normal
84,84,84,0.0,0.0,0.0,134.85089111328125,-7488.0,1,1,0,0,Normal
85,85,85,0.0,0.0,0.0,131.78317260742188,-7488.0,1,1,0,0,Normal
86,86,86,0.0,0.0,0.0,129.39051818847656,-7488.0,1,1,0,0,Normal
87,87,87,0.0,0.0,0.0,127.37261199951172,-7488.0,1,1,0,0,Normal
88,88,88,0.0,0.0,0.0,124.04409790039062,-7488.0,1,1,0,0,Normal
89,89,89,0.0,0.0,0.0,123.38065338134766,-7488.0,1,1,0,0,Normal
90,90,90,0.0,0.0,0.0,120.6168212890625,-7488.0,1,1,0,0,Normal
91,91,91,0.0,0.0,0.0,117.67193603515624,-7488.0,1,1,0,0,Normal
92,92,92,0.0,0.0,0.0,116.4226531982422,-7488.0,1,1,0,0,Normal
93,93,93,0.0,0.0,0.0,112.12489318847656,-7488.0,1,1,0,0,Normal
94,94,94,0.0,0.0,0.0,112.10842895507812,-7488.0,1,1,0,0,Normal
95,95,95,0.0,0.0,0.0,106.87075805664062,-7488.0,1,1,0,0,Normal
96,96,96,0.0,0.0,0.0,106.00177001953124,-7488.0,1,1,0,0,Normal
97,97,97,0.0,0.0,0.0,105.34024047851562,-7488.0,1,1,0,0,Normal
98,98,98,0.0,0.0,0.0,100.88530731201172,-7488.0,1,1,0,0,Normal
99,99,99,0.0,0.0,0.0,99.79817962646484,-7488.0,1,1,0,0,Normal
100,100,100,0.0,0.0,0.0,98.77183532714844,-7488.0,1,1,0,0,Normal
101,101,101,0.0,0.0,0.0,95.35409545898438,-7488.0,1,1,0,0,Normal
102,102,102,0.0,0.0,0.0,93.48600769042967,-7488.0,1,1,0,0,Normal
103,103,103,0.0,0.0,0.0,88.3630142211914,-7488.0,1,1,0,0,Normal
104,104,104,0.0,0.0,0.0,89.19609069824219,-7488.0,1,1,0,0,Normal
105,105,105,0.0,0.0,0.0,86.15367889404297,-7489.0,1,1,0,0,Normal
106,106,106,0.0,0.0,0.0,84.49346923828125,-7488.0,1,1,0,0,Normal
107,107,107,0.0,0.0,0.0,81.87248992919922,-7489.0,1,1,0,0,Normal
108,108,108,0.0,0.0,0.0,77.64767456054688,-7488.0,1,1,0,0,Normal
109,109,109,0.0,0.0,0.0,77.60205841064453,-7489.0,1,1,0,0,Normal
110,110,110,0.0,0.0,0.0,74.98616790771484,-7488.0,1,1,0,0,Normal
111,111,111,0.0,0.0,0.0,72.16671752929688,-7488.0,1,1,0,0,Normal
112,112,112,0.0,0.0,0.0,71.29912567138672,-7489.0,1,1,0,0,Normal
113,113,113,0.0,0.0,0.0,66.38489532470703,-7489.0,1,1,0,0,Normal
114,114,114,0.0,0.0,0.0,66.3646011352539,-7488.0,1,1,0,0,Normal
115,115,115,0.0,0.0,0.0,63.5917854309082,-7488.0,1,1,0,0,Normal
116,116,116,0.0,0.0,0.0,60.63774490356445,-7489.0,1,1,0,0,Normal
117,117,117,0.0,0.0,0.0,59.08681869506836,-7489.0,1,1,0,0,Normal
118,118,118,0.0,0.0,0.0,55.11750793457031,-7488.0,1,1,0,0,Normal
119,119,119,0.0,0.0,0.0,55.04458236694336,-7488.0,1,1,0,0,Normal
120,120,120,0.0,0.0,0.0,49.3250732421875,-7489.0,1,1,0,0,Normal
121,121,121,0.0,0.0,0.0,47.83322525024414,-7488.0,1,1,0,0,Normal
122,122,122,0.0,0.0,0.0,43.29204940795898,-7488.0,1,1,0,0,Normal
123,123,123,0.0,0.0,0.0,43.03591537475586,-7488.0,1,1,0,0,Normal
124,124,124,0.0,0.0,0.0,39.72369766235352,-7489.0,1,1,0,0,Normal
125,125,125,0.0,0.0,0.0,37.68153381347656,-7489.0,1,1,0,0,Normal
126,126,126,0.0,0.0,0.0,35.692848205566406,-7488.0,1,1,0,0,Normal
127,127,127,0.0,0.0,0.0,32.398834228515625,-7488.0,1,1,0,0,Normal
128,128,128,0.0,0.0,0.0,31.498403549194336,-7489.0,1,1,0,0,Normal
129,129,129,0.0,0.0,0.0,27.823543548583984,-7489.0,1,1,0,0,Normal
130,130,130,0.0,0.0,0.0,25.72893142700196,-7488.0,1,1,0,0,Normal
131,131,131,0.0,0.0,0.0,25.36087989807129,-7489.0,1,1,0,0,Normal
132,132,132,0.0,0.0,0.0,20.07061004638672,-7489.0,1,1,0,0,Normal
133,133,133,0.0,0.0,0.0,21.04909324645996,-7488.0,1,1,0,0,Normal
134,134,134,0.0,0.0,0.0,15.93653678894043,-7489.0,1,1,0,0,Normal
135,135,135,0.0,0.0,0.0,15.069212913513184,-7488.0,1,1,0,0,Normal
136,136,136,0.0,0.0,0.0,12.872337341308594,-7488.0,1,1,0,0,Normal
137,137,137,0.0,0.0,0.0,9.605650901794434,-7489.0,1,1,0,0,Normal
138,138,138,0.0,0.0,0.0,9.031455993652344,-7488.0,1,1,0,0,Normal
139,139,139,0.0,0.0,0.0,5.383018493652344,-7489.0,1,1,0,0,Normal
140,140,140,0.0,0.0,0.0,4.256019115447998,-7488.0,1,1,0,0,Normal
141,141,141,0.0,0.0,0.0,-0.1482467651367187,-7488.0,1,1,0,0,Normal
142,142,142,0.0,0.0,0.0,-0.1580657958984375,-7488.0,1,1,0,0,Normal
143,143,143,0.0,0.0,0.0,-0.1419219970703125,-7488.0,1,1,0,0,Normal
144,144,144,0.0,0.0,0.0,-0.1277389377355575,-7488.0,1,1,0,0,Normal
145,145,145,0.0,0.0,0.0,-0.19659423828125,-7488.0,1,1,0,0,Normal
146,146,146,153.3236846923828,260.1190795898437,0.4999999701976776,-0.1886749118566513,-7488.0,1,1,0,0,Normal
147,147,147,0.0,0.0,0.4749999642372131,-0.1836929321289062,-7488.0,1,1,0,0,Normal
148,148,148,0.0,0.0,0.0,-0.1876220554113388,-7488.0,1,1,0,0,Normal
149,149,149,329.4527587890625,103.1011199951172,0.4999999701976776,-0.1510162204504013,-7488.0,1,1,0,0,Normal
150,150,150,405.510986328125,72.13456726074219,0.5999999046325684,-0.19781494140625,-7489.0,1,1,0,0,Normal
151,151,151,385.0477294921875,92.63407135009766,0.5749999284744263,-0.1396331638097763,-7489.0,1,1,0,0,Normal
152,152,152,415.19329833984375,59.506492614746094,0.5749999284744263,-0.1407012939453125,-7489.0,1,1,0,0,Normal
153,153,153,488.945556640625,30.95448303222656,0.6499999165534973,-0.1272735446691513,-7489.0,1,1,0,0,Normal
154,154,154,495.8873901367188,79.3902816772461,0.7249999642372131,-0.1875610202550888,-7489.0,1,1,0,0,Normal
155,155,155,534.4960327148438,70.57717895507812,0.7999998927116394,-0.1681976169347763,-7489.0,1,1,0,0,Normal
156,156,156,575.0120849609375,34.672882080078125,0.7999998927116394,-0.1798858493566513,-7489.0,1,1,0,0,Normal
157,157,157,606.9445190429688,44.91056060791016,0.824999988079071,-0.1807861328125,-7489.0,1,1,0,0,Normal
158,158,158,675.0830078125,-38.52408218383789,0.9249998927116394,-0.129638671875,-7489.0,1,1,0,0,Normal
159,159,159,726.3197021484375,-24.03680992126465,0.9999999403953552,-0.170440673828125,-7489.0,1,1,0,0,Normal
160,160,160,732.9838256835938,-10.39462184906006,1.0249998569488523,-0.1349029392004013,-7489.0,1,1,0,0,Normal
161,161,161,811.3116455078125,-28.5520076751709,1.1499998569488523,-0.21136474609375,-7489.0,1,1,0,0,Normal
162,162,162,849.2200317382812,-93.515380859375,1.1749999523162842,-0.1828307956457138,-7489.0,1,1,0,0,Normal
163,163,163,839.0185546875,-71.59129333496094,1.1499998569488523,-0.1760101318359375,-7489.0,1,1,0,0,Normal
164,164,164,914.4852294921876,-115.30665588378906,1.274999976158142,-0.2127075046300888,-7489.0,1,1,0,0,Normal
165,165,165,994.9137573242188,-196.00079345703125,1.4249998331069946,-0.1571349948644638,-7489.0,1,1,0,0,Normal
166,166,166,970.3577880859376,-191.53387451171875,1.3499999046325684,-0.2043304294347763,-7489.0,1,1,0,0,Normal
167,167,167,1025.1317138671875,-249.0242156982422,1.4749999046325684,-0.1216888427734375,-7489.0,1,1,0,0,Normal
168,168,168,1133.967529296875,-337.034423828125,1.6249998807907104,-0.159454345703125,-7489.0,1,1,0,0,Normal
169,169,169,1197.50634765625,-501.1390686035156,1.7749998569488523,-0.1676330417394638,-7489.0,1,1,0,0,Normal
170,170,170,1239.77294921875,-540.9549560546875,1.8249999284744265,-0.1976165771484375,-7489.0,1,1,0,0,Normal
171,171,171,1257.737060546875,-574.1912231445312,1.8999998569488523,-0.1808471530675888,-7489.0,1,1,0,0,Normal
172,172,172,1302.466552734375,-563.6878662109375,1.924999952316284,-0.18328857421875,-7489.0,1,1,0,0,Normal
173,173,173,1353.473876953125,-611.5442504882812,2.024999618530273,-0.1851501315832138,-7489.0,1,1,0,0,Normal
174,174,174,1399.470947265625,-644.6356201171875,2.124999761581421,-0.1839904636144638,-7489.0,1,1,0,0,Normal
175,175,175,1424.65478515625,-663.9036254882812,2.174999713897705,-0.1604919284582138,-7489.0,1,1,0,0,Normal
176,176,176,1490.692626953125,-693.9285278320312,2.249999761581421,-0.1886138916015625,-7489.0,1,1,0,0,Normal
177,177,177,1473.3560791015625,-670.5436401367188,2.1999998092651367,-0.2024993896484375,-7489.0,1,1,0,0,Normal
178,178,178,1569.949951171875,-705.67529296875,2.3499999046325684,-0.1466064453125,-7489.0,1,1,0,0,Normal
179,179,179,1531.7518310546875,-701.353271484375,2.299999713897705,-0.2053680419921875,-7489.0,1,1,0,0,Normal
180,180,180,1560.303955078125,-700.4478149414062,2.374999761581421,-0.187103271484375,-7489.0,1,1,0,0,Normal
181,181,181,1589.3751220703125,-752.46923828125,2.399999618530273,-0.215423583984375,-7489.0,1,1,0,0,Normal
182,182,182,1609.2708740234375,-695.58251953125,2.399999618530273,-0.1946410983800888,-7489.0,1,1,0,0,Normal
183,183,183,1504.8416748046875,-660.2697143554688,2.2749998569488525,-0.1878356784582138,-7489.0,1,1,0,0,Normal
184,184,184,1521.8643798828125,-667.5013427734375,2.299999713897705,-0.1864776462316513,-7489.0,1,1,0,0,Normal
185,185,185,1597.2706298828125,-690.2342529296875,2.374999761581421,-0.1644286960363388,-7489.0,1,1,0,0,Normal
186,186,186,1564.0947265625,-688.2181396484375,2.374999761581421,-0.1441497653722763,-7489.0,1,1,0,0,Normal
187,187,187,1549.4141845703125,-664.302001953125,2.299999713897705,-0.1921081393957138,-7489.0,1,1,0,0,Normal
188,188,188,1629.4324951171875,-693.493896484375,2.399999618530273,-0.1860656589269638,-7489.0,1,1,0,0,Normal
189,189,189,1585.5721435546875,-685.8760375976562,2.374999761581421,-0.2081298828125,-7489.0,1,1,0,0,Normal
190,190,190,1568.2960205078125,-679.0670166015625,2.3249998092651367,-0.1671905517578125,-7489.0,1,1,0,0,Normal
191,191,191,1541.506591796875,-623.9550170898438,2.299999713897705,-0.17803955078125,-7489.0,1,1,0,0,Normal
192,192,192,1554.75048828125,-685.1154174804688,2.3249998092651367,-0.2064208984375,-7489.0,1,1,0,0,Normal
193,193,193,1476.688232421875,-650.1769409179688,2.1999998092651367,-0.1490020751953125,-7489.0,1,1,0,0,Normal
194,194,194,1589.580322265625,-705.6511840820312,2.399999618530273,-0.20770263671875,-7489.0,1,1,0,0,Normal
195,195,195,1663.0548095703125,-735.5794677734375,2.4749999046325684,-0.155731201171875,-7489.0,1,1,0,0,Normal
196,196,196,1567.3785400390625,-682.0851440429688,2.374999761581421,-0.1893768310546875,-7489.0,1,1,0,0,Normal
197,197,197,1499.5057373046875,-670.03662109375,2.2249996662139893,-0.1803054809570312,-7489.0,1,1,0,0,Normal
198,198,198,1564.5535888671875,-673.1392822265625,2.3499999046325684,-0.1712951511144638,-7489.0,1,1,0,0,Normal
199,199,199,1527.816162109375,-664.784912109375,2.2749998569488525,-0.1954498142004013,-7489.0,1,1,0,0,Normal
200,200,200,1572.026611328125,-732.4163818359375,2.374999761581421,-0.1864242553710937,-7489.0,1,1,0,0,Normal
201,201,201,1551.708251953125,-685.199951171875,2.3499999046325684,-0.1980972290039062,-7489.0,1,1,0,0,Normal
202,202,202,1608.220703125,-711.9530639648438,2.4499998092651367,-0.17176054418087,-7489.0,1,1,0,0,Normal
203,203,203,1642.65185546875,-723.2290649414062,2.424999713897705,-0.2065505981445312,-7489.0,1,1,0,0,Normal
204,204,204,1516.9266357421875,-672.93408203125,2.2749998569488525,-0.1366348266601562,-7489.0,1,1,0,0,Normal
205,205,205,1502.801513671875,-690.1135864257812,2.2749998569488525,-0.179229736328125,-7489.0,1,1,0,0,Normal
206,206,206,1472.124755859375,-683.4735717773438,2.249999761581421,-0.1817474365234375,-7489.0,1,1,0,0,Normal
207,207,207,1589.9425048828125,-708.5847778320312,2.374999761581421,-0.1673736423254013,-7489.0,1,1,0,0,Normal
208,208,208,1545.068115234375,-690.4757080078125,2.3499999046325684,-0.2299499362707138,-7489.0,1,1,0,0,Normal
209,209,209,1533.9732666015625,-698.298828125,2.299999713897705,-0.1377792209386825,-7489.0,1,1,0,0,Normal
210,210,210,1541.6756591796875,-668.0567016601562,2.299999713897705,-0.1602554321289062,-7489.0,1,1,0,0,Normal
211,211,211,1592.5743408203125,-683.4252319335938,2.374999761581421,-0.2021560668945312,-7489.0,1,1,0,0,Normal
212,212,212,1514.210205078125,-653.509033203125,2.299999713897705,-0.1652069091796875,-7489.0,1,1,0,0,Normal
213,213,213,1531.07568359375,-700.9548950195312,2.299999713897705,-0.2044143676757812,-7489.0,1,1,0,0,Normal
214,214,214,1548.448486328125,-682.0126953125,2.3499999046325684,-0.1947173923254013,-7489.0,1,1,0,0,Normal
215,215,215,1635.988037109375,-707.4379272460938,2.424999713897705,-0.2006607055664062,-7489.0,1,1,0,0,Normal
216,216,216,1649.6663818359375,-736.9799194335938,2.499999761581421,-0.2117462009191513,-7489.0,1,1,0,0,Normal
217,217,217,1631.47265625,-747.4227905273438,2.4499998092651367,-0.2039794772863388,-7489.0,1,1,0,0,Normal
218,218,218,1525.5103759765625,-670.5678100585938,2.299999713897705,-0.2171783447265625,-7489.0,1,1,0,0,Normal
219,219,219,1565.4107666015625,-688.6768798828125,2.3499999046325684,-0.1941299438476562,-7489.0,1,1,0,0,Normal
220,220,220,1509.4898681640625,-663.0223388671875,2.299999713897705,-0.1487884521484375,-7489.0,1,1,0,0,Normal
221,221,221,1584.9322509765625,-700.5443725585938,2.3499999046325684,-0.1896819919347763,-7489.0,1,1,0,0,Normal
222,222,222,1487.80712890625,-648.5109252929688,2.249999761581421,-0.1609802097082138,-7489.0,1,1,0,0,Normal
223,223,223,1557.7806396484375,-687.9766235351562,2.3499999046325684,-0.1637725830078125,-7489.0,1,1,0,0,Normal
224,224,224,1615.8262939453125,-691.2966918945312,2.424999713897705,-0.1554870456457138,-7489.0,1,1,0,0,Normal
225,225,225,1494.3626708984375,-654.9456787109375,2.2249996662139893,-0.1722030639648437,-7489.0,1,1,0,0,Normal
226,226,226,1563.7928466796875,-692.2987060546875,2.3249998092651367,-0.20783232152462,-7489.0,1,1,0,0,Normal
227,227,227,1481.17919921875,-679.3447265625,2.249999761581421,-0.1862487643957138,-7489.0,1,1,0,0,Normal
228,228,228,1545.7684326171875,-698.5765380859375,2.3249998092651367,-0.196197509765625,-7489.0,1,1,0,0,Normal
229,229,229,1556.8389892578125,-704.7457275390625,2.374999761581421,-0.2056464999914169,-7489.0,1,1,0,0,Normal
230,230,230,1480.2979736328125,-652.941650390625,2.1999998092651367,-0.1477928161621093,-7489.0,1,1,0,0,Normal
231,231,231,1544.1748046875,-690.5602416992188,2.3249998092651367,-0.2116050720214843,-7489.0,1,1,0,0,Normal
232,232,232,1647.6260986328125,-738.5855712890625,2.499999761581421,-0.1836280673742294,-7489.0,1,1,0,0,Normal
233,233,233,1637.207275390625,-719.8004150390625,2.4749999046325684,-0.1739425659179687,-7489.0,1,1,0,0,Normal
234,234,234,1581.938232421875,-681.1314697265625,2.374999761581421,-0.2130661010742187,-7489.0,1,1,0,0,Normal
235,235,235,1528.117919921875,-665.9439086914062,2.2749998569488525,-0.1752014011144638,-7489.0,1,1,0,0,Normal
236,236,236,1562.971923828125,-661.4890747070312,2.299999713897705,-0.2030868381261825,-7489.0,1,1,0,0,Normal
237,237,237,1511.228271484375,-659.1228637695312,2.249999761581421,-0.1332206577062606,-7489.0,1,1,0,0,Normal
238,238,238,1566.1591796875,-686.0933837890625,2.3249998092651367,-0.169654831290245,-7489.0,1,1,0,0,Normal
239,239,239,1486.201416015625,-624.6068725585938,2.2249996662139893,-0.2101669162511825,-7489.0,1,1,0,0,Normal
240,240,240,1586.0189208984375,-653.35205078125,2.374999761581421,-0.17791748046875,-7489.0,1,1,0,0,Normal
241,241,241,0.0,0.0,0.0,-49.61474990844727,-7489.0,1,1,0,0,Normal
242,242,242,0.0,0.0,0.0,-82.77931213378906,-7489.0,1,1,0,0,Normal
243,243,243,0.0,0.0,0.0,-87.15410614013672,-7489.0,1,1,0,0,Normal
244,244,244,0.0,0.0,0.0,-90.95772552490234,-7489.0,1,1,0,0,Normal
245,245,245,0.0,0.0,0.0,-91.57167053222656,-7489.0,1,1,0,0,Normal
246,246,246,0.0,0.0,0.0,-96.12921142578124,-7489.0,1,1,0,0,Normal
247,247,247,0.0,0.0,0.0,-98.32756805419922,-7489.0,1,1,0,0,Normal
248,248,248,0.0,0.0,0.0,-97.83939361572266,-7489.0,1,1,0,0,Normal
249,249,249,0.0,0.0,0.0,-102.7296142578125,-7489.0,1,1,0,0,Normal
250,250,250,0.0,0.0,0.0,-103.4395980834961,-7489.0,1,1,0,0,Normal
251,251,251,0.0,0.0,0.0,-107.91179656982422,-7489.0,1,1,0,0,Normal
252,252,252,0.0,0.0,0.0,-108.52424621582033,-7489.0,1,1,0,0,Normal
253,253,253,0.0,0.0,0.0,-110.69530487060548,-7489.0,1,1,0,0,Normal
254,254,254,0.0,0.0,0.0,-114.46127319335938,-7489.0,0,0,0,0,Normal
255,255,255,0.0,0.0,0.0,115.67687225341795,-7489.0,0,0,0,0,Normal
256,256,256,0.0,0.0,0.0,139.7019805908203,-7489.0,0,0,0,0,Normal
257,257,257,0.0,0.0,0.0,177.5761260986328,-7489.0,0,0,0,0,Normal
258,258,258,0.0,0.0,0.0,-146.2658233642578,-7489.0,0,0,0,0,Normal
259,259,259,0.0,0.0,0.0,166.3157196044922,-7489.0,0,0,0,0,Normal
260,260,260,0.0,0.0,0.0,-175.06002807617188,-7489.0,0,0,0,0,Normal
261,261,261,0.0,0.0,0.0,-176.23208618164062,-7489.0,0,0,0,0,Normal
262,262,262,0.0,0.0,0.0,-175.1129608154297,-7489.0,0,0,0,0,Normal
263,263,263,0.0,0.0,0.0,-173.65716552734375,-7489.0,0,0,0,0,Normal
264,264,264,0.0,0.0,0.0,-174.97962951660156,-7489.0,0,0,0,0,Normal
265,265,265,0.0,0.0,0.0,-174.67604064941406,-7489.0,0,0,0,0,Normal
266,266,266,0.0,0.0,0.0,-174.1211700439453,-7489.0,0,0,0,0,Normal
267,267,267,0.0,0.0,0.0,-174.01470947265625,-7489.0,0,0,0,0,Normal
268,268,268,0.0,0.0,0.0,-176.23403930664062,-7489.0,0,0,0,0,Normal
269,269,269,0.0,0.0,0.0,-174.15541076660156,-7489.0,0,0,0,0,Normal
270,270,270,0.0,0.0,0.0,-173.65350341796875,-7489.0,0,0,0,0,Normal
271,271,271,0.0,0.0,0.0,-175.97601318359375,-7489.0,0,0,0,0,Normal
272,272,272,0.0,0.0,0.0,-175.3919219970703,-7489.0,0,0,0,0,Normal
273,273,273,0.0,0.0,0.0,-174.97793579101562,-7489.0,0,0,0,0,Normal
274,274,274,0.0,0.0,0.0,-173.7864227294922,-7489.0,0,0,0,0,Normal
275,275,275,0.0,0.0,0.0,-175.00546264648438,-7489.0,0,0,0,0,Normal
276,276,276,0.0,0.0,0.0,-174.77615356445312,-7489.0,0,0,0,0,Normal
277,277,277,0.0,0.0,0.0,-174.911376953125,-7489.0,0,0,0,0,Normal
